Sho to Elb (L),Elb to Wrist (L), Sho to Hip (L),Hip to Knee (L),Knee to Ankle (L),Ankle to Heel (L), Heel to Foot (L),Sho to Elb (R),Elb to Wrist (R), Sho to Hip (R),Hip to Knee (R),Knee to Ankle (R),Ankle to Heel (R), Heel to Foot (R),Track ID
36.724,0,65.378,55.025,55.975,6.15,0,35.689,0,67.136,54.893,0,0,0,1689
34.997,50.32,73.423,55.77,62.465,8.658,19.001,0,0,76.953,59.688,60.399,3.206,0,1513
35.712,0,69.599,0,0,0,0,35.3,0,66.558,0,0,0,0,1689
35.98,52.591,70.103,59.234,57.858,7.312,14.775,0,0,80.249,61.163,58.116,3.19,0,1513
36.173,0,72.226,53.233,49.459,10.03,8.858,34.668,0,73.936,57.077,50.439,9.205,14.978,1689
35.378,55.062,73.409,59.566,61.97,10.914,12.451,47.667,0,76.284,59.386,59.183,5.004,0,1513
38.384,44.254,70.548,59.583,65.131,5.288,23.208,37.83,0,74.594,59.041,64.096,3.654,22.259,1513
35.973,44.262,71.176,59.75,57.031,5.054,16.416,32.508,0,74.033,56.586,59.132,4.613,19.544,1513
18.919,0,33.555,34.487,39.476,4.003,19.72,0,0,30.356,39.029,39.953,4.732,19.978,1178
35.962,37.02,73.938,55.798,52.424,7.623,10.14,34.102,0,74.466,55.028,55.868,7.331,0,1689
37.301,40.643,69.393,56.815,58.407,7.725,0,38.188,0,67.855,54.814,0,0,0,1672
36.811,0,76.927,58.659,72.581,0,0,40.907,44.025,76.62,59,73.548,0,0,1513
18.111,19.934,47.721,0,0,0,0,15.209,7.01,44.427,0,0,0,0,1672
31.876,0,86.905,57.758,86.108,7.399,55.74,40.698,48.717,82.485,57.189,80.847,6.803,59.558,1513
36.091,0,71.691,56.119,60.848,8.924,0,51.226,0,74.267,55.32,60.945,8.194,0,1513
0,0,70.449,57.488,54.503,5.282,18.533,0,0,71.538,0,0,0,0,1513
0,0,69.455,56.444,56.899,8.09,7.056,49.715,0,73.653,56.758,57.724,7.079,15.317,1513
18.272,0,32.817,35.155,29.514,2.927,22.075,18.804,22.896,32.195,34.404,28.592,3.438,22.511,1178
22.702,0,31.756,21.398,0,0,0,0,0,31.788,0,0,0,0,1178
48.086,0,66.875,61.319,55.372,9.472,8.207,0,0,71.617,59.126,54.927,5.837,0,1513
43.879,0,64.415,54.157,62.073,7.816,15.592,0,0,65.46,52.435,63.585,8.051,0,1513
20.926,0,46.532,35.012,56.282,0,0,23.977,33.561,46.497,37.289,52.625,0,0,1178
29.851,0,57.2,39.184,50.725,0,0,0,0,54.271,38.35,49.795,3.824,39.375,1726
23.444,33.727,32.975,0,0,0,0,24.219,0,32.065,0,0,0,0,1178
20.213,21.642,36.386,28.888,32.906,0,0,21.179,21.508,36.549,30.952,0,0,0,1178
25.564,0,50.226,43.687,59.721,0,0,24.535,0,50.66,0,0,0,0,1726
20.092,8.612,34.371,29.248,0,0,0,0,0,32.042,0,0,0,0,1178
29.361,37.312,74.653,0,0,0,0,29.668,0,73.508,0,0,0,0,1726
27.831,41.283,65.492,36.906,65.614,0,0,29.929,0,66.587,37.17,65.089,5.914,43.622,1726
31.852,54.051,81.11,46.441,83.295,0,0,37.619,45.002,76.569,48.877,79.694,6.479,60.662,1726
0,0,65.792,51.09,41.064,7.049,6.29,0,0,69.475,46.405,41.698,10.069,0,1689
32.896,52.266,81.462,0,0,0,0,43.154,0,76.119,0,0,0,0,1726
0,0,70.628,52.137,61.49,8.966,0,0,0,68.716,53.74,65.96,0,0,1513
31.787,0,65.467,59.25,60.299,0,0,0,0,61.66,67.484,62.771,0,0,1726
38.241,0,110.822,46.106,104.927,8.876,56.394,40.906,0,91.88,54.142,88.642,9.09,64.141,1726
30.238,42.546,85.114,46.144,71.09,0,0,36.367,36.662,78.793,48.288,64.684,0,0,1178
41.601,0,68.147,56.706,53.813,8.424,7.996,0,0,70.759,56.456,52.041,5.329,0,1513
40.07,0,112.264,55.528,114.702,0,0,43.734,52.652,96.263,62.005,85.556,8.722,72.244,1726
29.648,46.518,75.753,0,0,0,0,35.985,37.351,71.568,57.492,62.199,0,0,1178
0,0,66.233,53.434,56.516,6.1,0,0,0,67.621,0,0,0,0,1513
39.699,0,76.198,54.979,0,0,0,0,0,70.229,0,0,0,0,1726
0,0,66.486,56.471,48.547,5.238,0,43.042,0,67.077,55.003,56.085,4.193,0,1689
43.557,0,111.176,57.686,161.142,15.596,57.86,50.843,0,85.771,65.086,100.517,8.927,71.649,1726
37.439,51.506,97.369,51.665,120.796,0,0,47.423,45.857,89.779,52.113,104.484,7.567,63.087,1178
51.57,0,65.913,55.901,52.292,8.306,9.45,46.056,0,67.809,59.775,55.007,4.308,0,1689
39.309,73.32,102.075,56.88,99.517,7.578,70.919,43.361,56.213,97.535,56.81,96.543,8.794,70.047,1178
35.631,0,66.292,54.314,54.658,7.933,14.187,31.671,0,67.215,54.384,56.282,8.244,17.713,1689
48.329,0,134.81,65.037,103.47,0,0,0,0,113.091,67.648,121.562,0,0,1726
42.494,60.315,90.359,57.822,87.884,0,0,44.138,52.625,91.423,57.243,83.091,10.011,59.553,1178
29.762,0,48.513,40.932,46.275,4.255,0,27.226,0,49.127,39.451,47.164,5.69,0,1672
0,0,66.797,52.103,60.707,7.996,19.267,0,0,65.289,56.768,58.911,7.945,0,1689
53.872,0,112.295,67.288,101.098,0,0,0,0,91.861,63.869,99.893,0,0,1726
41.226,82.972,94.609,66.713,100.079,0,0,40.297,63.39,93.425,63.416,104.773,8.462,63.099,1178
0,0,68.49,51.553,53.68,7.621,14.18,0,0,66.679,53.076,53.832,0,0,1689
51.517,59.596,98.184,68.882,0,0,0,49.125,78.036,97.669,69.03,0,0,0,1178
55.954,68.829,112.096,85.993,88.267,0,0,51.766,75.973,107.837,77.735,94.855,0,0,1178
0,0,68.367,56.901,51.219,8.857,15.887,0,0,70.314,55.586,52.116,8.466,22.273,1689
62.505,66.276,120.189,83.298,98.537,0,0,53.091,70.998,123.094,73.505,121.946,12.428,52.948,1178
41.738,0,73.343,56.117,52.098,12.172,6.963,0,0,75.33,52.382,53.639,8.236,12.893,1689
66.867,94.142,136.491,98.456,163.496,10.038,107.179,71.232,158.363,139.655,82.684,209.569,18.408,84.317,1178
27.38,30.711,46.524,37.359,42.076,6.274,0,29.158,0,45.424,0,0,0,0,1513
0,0,63.765,55,0,0,0,0,0,64.778,0,0,0,0,1689
75.238,71.761,145.637,110.263,155.915,11.869,87.892,66.545,130.723,136.83,105.549,139.493,14.399,89.376,1178
43.314,0,74.388,59.22,53.535,5.95,5.754,0,0,73.512,53.933,53.194,7.465,0,1689
85.371,94.916,178.1,121.057,0,0,0,0,0,154.075,119.693,0,0,0,1178
99.96,94.828,238.93,0,0,0,0,0,0,162.205,0,0,0,0,1178
45.288,0,70.245,58.029,58.175,8.877,17.157,0,0,69.553,57.429,57.602,8.958,19.621,1689
0,0,68.297,60.141,52.36,10.957,10.414,0,0,70.015,57.564,56.7,6.549,0,1689
37.906,0,69.354,59.958,51.965,10.386,13.877,0,0,68.612,58.377,58.451,6.388,0,1689
0,0,71.706,66.011,60.05,9.804,6.391,49.708,0,69.615,59.924,59.338,5.516,0,1689
28.632,42.912,65.765,59.312,69.928,0,0,34.119,32.055,54.936,55.888,61.117,0,0,1178
37.364,44.612,72.624,51.166,67.358,4.376,53.783,35.207,55.653,76.746,49.039,68.191,6.16,47.66,1726
33.548,0,69.914,58.075,91.373,0,0,33.327,65.252,71.696,58.671,84.249,6.765,63.438,1178
0,0,69.21,56.986,0,0,0,0,0,70.259,0,0,0,0,1689
34.19,50.868,69.657,60.314,78.747,0,0,33.665,56.007,68.977,61.521,82.292,0,0,1726
35.727,44.803,72.276,52.805,55.036,0,0,35.463,41.215,69.289,56.051,49.202,0,0,1178
0,0,65.827,52.594,51.487,6.768,0,0,0,66.992,0,0,0,0,1689
37.229,45.393,71.619,57.735,59.704,0,0,36.191,39.25,68.532,58.005,54.546,0,0,1178
40.73,48.782,78.625,60.375,63.598,0,0,37.739,44.599,77.401,60.261,73.734,0,0,1178
0,0,67.315,55.425,51.88,5.238,14.081,0,0,66.112,55.95,51.882,4.933,0,1689
43.336,47.338,82.21,69.689,82.565,6.019,48.68,40.622,44.844,84.211,64.513,113.498,11.07,35.209,1178
38.656,0,100.021,91.064,60.237,0,0,35.17,61.955,98.539,0,0,0,0,1672
44.821,0,72.819,62.725,50.445,7.964,5.384,0,0,79.925,61.261,53.721,6.635,16.201,1689
45.609,48.094,92.911,78.378,135.421,10.527,50.63,45.385,48.423,91.62,80.001,158.4,15.363,38.091,1178
45.669,0,100.042,91.381,71.638,0,0,43.788,55.178,93.704,68.21,0,0,0,1672
44.66,0,66.374,58.337,53.656,8.872,9.757,52.631,0,69.49,59.552,55.133,7.587,13.793,1689
45.436,55.149,94.225,82.143,117.828,8.647,60.57,47.075,54.606,91.186,86.489,114.864,9.849,55.219,1178
36.595,65.129,103.005,68.745,71.839,6.683,71.396,45.957,60.517,99.328,0,0,0,0,1672
38.469,0,67.549,58.984,57.119,6.34,10.224,47.831,0,70.335,59.76,56.254,4.152,0,1689
48.288,46.127,102.818,83.332,110.777,0,0,52.225,57.076,99.37,78.518,98.853,0,0,1178
43.525,49.341,104.667,70.586,74.248,0,0,52.226,50.921,103.842,0,0,0,0,1672
0,0,66.431,58.944,52.219,8.506,7.172,52.162,0,69.752,59.234,56.052,4.22,0,1689
48.176,55.591,104.057,81.984,136.851,0,0,49.987,68.946,98.925,76.622,98.9,0,0,1726
43.972,57.596,106.945,76.606,78.595,0,0,49.773,55.523,102.17,0,0,0,0,1672
46.771,0,64.828,57.449,53.992,10.58,0,48.89,0,66.959,57.161,54.53,4.237,0,1689
55.287,73.499,108.469,84.037,145.375,0,0,56.524,66.493,99.225,86.991,114.622,0,0,1726
48.349,58.485,116.446,95.801,91.464,0,0,55.768,55.012,106.909,76.69,125.389,0,0,1672
34.492,0,64.631,60.181,63.749,9.717,22.44,0,0,67.704,59.029,69.439,3.977,0,1689
0,0,59.32,0,0,0,0,30.06,43.846,55.423,0,0,0,0,1689
63.91,58.408,126.878,79.787,140.684,0,0,65.794,73.923,120.574,94.054,107.134,0,0,1726
24.73,26.582,47.757,36.819,34.818,5.119,5.233,23.237,0,44.925,36.063,35.425,5.288,6.253,1513
0,0,68.982,58.253,63.048,8.654,24.716,0,0,71.435,54.868,66.035,13.218,31.597,1689
67.723,65.555,134.413,100.239,161.68,0,0,67.462,79.343,125.025,102.253,122.359,0,0,1726
79.147,65.878,160.125,104.818,245.103,0,0,77.46,75.433,152.197,118.11,115.546,14.685,96.981,1178
0,0,34.215,0,0,0,0,19.923,11.12,35.789,0,0,0,0,1513
0,0,68.861,58.016,56.909,9.184,0,47.787,0,69.678,56.286,58.146,5.943,0,1689
80.333,69.342,163.824,121.032,0,0,0,80.145,79.974,146.497,113.542,162.518,0,0,1726
86.739,70.437,166.403,124.261,288.685,0,0,78.259,90.29,155.775,128.505,158.155,11.203,111.573,1178
29.583,18.881,52.105,37.322,35.457,5.091,6.643,24.085,31.809,53.872,32.569,33.974,4.39,8.526,1513
0,0,67.877,55.649,59.291,7.329,31.336,0,0,66.916,55.451,60.532,8.197,35.025,1689
89.996,75.13,177.387,142.707,179.751,0,0,0,0,154.936,120.096,188.043,0,0,1178
40.413,0,68.829,56.908,57.501,6.46,0,35.47,0,67.224,57.932,59.706,5.151,0,1689
0,0,41.159,28.688,33.902,3.775,15.759,22.873,18.25,42.659,28.881,35.177,4.213,17.954,1689
37.849,41.31,86.991,60.794,87.152,7.024,54.16,16.849,0,95.318,60.507,90.386,9.323,39.981,1178
24.649,20.635,53.95,34.584,46.103,4.396,21.586,23.26,20.26,58.442,35.04,48.359,4.237,20.244,1513
44.351,61.609,123.349,67.407,144.515,11.49,63.171,48.71,50.046,129.231,56.914,173.693,16.893,49.787,1178
36.215,0,62.788,54.52,61.346,5.792,0,36.321,0,67.008,54.417,63.796,5.279,0,1810
0,0,68.518,48.563,68.687,4.235,0,0,0,68.366,54.572,65.456,0,0,1810
0,0,65.139,52.861,61.197,0,0,0,0,68.151,0,0,0,0,1810
0,0,62.602,60.471,68.951,9.346,0,40.443,0,67.236,58.471,69.68,7.606,0,1810
0,0,67.046,56.047,58.135,10.746,24.713,0,0,69.954,55.606,59.742,6.578,0,1810
15.163,15.824,23.016,33.205,27.805,3.048,11.79,12.463,18.935,21.928,0,0,0,0,1513
28.994,36.11,32.593,25.127,47.05,3.167,27.78,26.158,53.398,30.159,22.674,43.432,4.182,26.466,1513
33.9,26.625,65.176,57.219,57.031,9.088,16.236,0,0,67.179,56.06,56.984,3.711,0,1810
37.435,36.282,65.411,50.246,52.807,10.319,29.681,36.026,33.962,66.444,51.319,58,7.25,0,1810
35.458,49.493,39.08,0,0,0,0,35.454,51.284,37.781,0,0,0,0,1513
27.155,30.391,35.138,0,0,0,0,27.115,35.887,33.713,0,0,0,0,1513
22.493,0,46.291,32.501,34.952,4.562,6.514,18.988,0,48.324,0,0,5.284,0,1672
19.829,20.994,35.614,31.389,35.524,4.307,0,17.304,19.614,35.472,30.686,34.457,5.217,0,1689
35.205,41.701,39.911,0,0,0,0,39.663,52.366,38.768,0,0,0,0,1513
42.061,62.625,48.809,35.66,86.646,7.109,34.091,40.588,61.69,45.561,32.646,91.034,0,0,1178
41.138,60.153,55.62,37.806,96.939,7.759,39.061,37.715,69.543,47.224,34.343,85.271,7.454,35.31,1178
45.628,60.178,56.006,37.289,80.958,0,0,40.799,65.93,47.868,35.746,67.537,0,0,1178
48.923,61.997,52.704,38.787,80.011,0,0,44.594,74.172,48.505,37.462,69.729,0,0,1178
47.316,0,65.871,56.337,54.575,7.748,0,0,0,69.757,53.295,55.613,9.095,0,1810
44.675,62.177,66.618,35.337,97.877,0,0,52.177,75.804,65.033,37.408,78.58,6.122,47.997,1178
0,0,79.32,0,0,0,0,0,0,74.8,0,0,0,0,1810
46.568,60.959,67.588,37.545,98.525,7.863,44.742,33.015,69.438,55.894,38.662,74.775,5.653,45.275,1178
0,0,70.14,56.566,59.235,9.838,45.001,32.55,0,71.531,57.412,61.222,0,0,1810
39.334,70.524,54.71,43.316,92.541,0,0,45.4,77.782,54.078,43.325,73.915,5.488,48.431,1178
0,0,69.748,51.51,0,0,0,0,0,66.526,0,0,0,0,1810
41.831,62.406,61.641,45.708,94.808,6.672,48.293,59.8,83.224,59.739,43.979,80.964,7.209,51.382,1178
0,0,70.931,57.928,57.907,7.008,0,0,0,68.498,58.34,0,0,0,1810
43.776,72.568,66.928,54.447,92.993,0,0,59.978,93.172,67.269,48.939,83.577,0,0,1178
0,0,72.216,58.824,54.619,6.403,22.539,0,0,70.365,57.402,55.865,5.967,28.007,1810
41.667,57.604,74.728,55.324,93.188,6.367,47.631,56.379,84.403,76.239,47.097,105.972,0,0,1178
59.132,71.451,72.285,57.459,115.825,10.262,50.846,66.233,91.664,72.158,49.998,118.782,10.79,46.257,1178
41.926,0,72.119,61.14,56.849,7.368,8.757,33.183,0,73.503,63.68,57.303,9.065,14.709,1810
66.113,89.257,78.813,55.264,123.327,0,0,77.657,96.134,78.583,55.564,104.889,0,0,1178
47.732,0,71.685,58.693,54.254,11.466,9.417,53.827,0,74.789,62.52,57.253,7.492,11.794,1810
70.689,85.45,87.707,61.21,138.872,11.575,58.944,80.349,106.294,87.391,62.032,123.018,11.144,59.884,1178
0,0,71.041,62.71,62.164,8.53,7.669,0,0,74.321,63.113,64.275,6.484,0,1810
61.673,82.978,85.085,82.649,106.625,0,0,83.018,109.299,86.965,63.291,0,0,0,1178
41.332,0,72.814,61.01,53.997,8.854,7.05,0,0,73.793,61.48,58.416,3.902,14.539,1810
46.516,0,69.731,59.365,60.492,9.821,13.939,37.117,0,70.675,61.495,57.315,14.388,21.427,1810
0,0,75.453,55.98,76.44,7.81,45.735,0,0,71.061,57.893,74.876,7.371,48.163,1810
83.223,0,116.876,91.046,155.587,11.25,92.355,111.192,160.936,118.877,87.514,114.284,6.274,100.741,1178
0,0,75.051,55.165,66.991,7.653,28.754,0,0,75.299,54.391,69.373,12.439,37.15,1810
121.452,116.957,128.346,73.247,193.009,0,0,125.311,135.895,124.64,90.974,111.728,0,0,1178
0,0,76.138,59.502,62.254,5.405,17.043,0,0,75.357,58.238,63.513,4.309,24.21,1810
0,0,76.475,58.792,0,0,0,0,0,78.418,0,0,0,0,1810
0,0,71.983,58.678,0,0,0,0,0,71.103,0,0,0,0,1810
10.985,11.718,20.451,18.686,25.753,2.187,12.799,14.732,18.179,21.028,16.042,22.804,2.087,12.351,1566
39.32,0,74.532,62.886,70.09,6.676,16.561,39.818,0,78.519,63.956,69.344,5.73,26.594,1810
40.785,33.433,74.687,63.622,66.861,11.134,17.602,41.754,0,79.716,64.268,66.793,6.621,0,1810
16.584,0,29.929,41.237,36.505,0,0,18.682,42.546,31.082,0,0,0,0,1788
39.548,0,74.097,60.77,65.53,9.479,18.652,50.914,0,77.13,61.435,64.867,6.558,0,1810
40.274,33.879,74.401,62.367,61.809,9.759,17.528,44.074,0,79.242,61.54,63.37,7.437,23.066,1810
37.682,0,70.288,63.849,61.917,9.153,0,30.412,0,75.155,61.093,59.033,6.598,0,1810
40.576,0,73.741,64.937,67.151,9.133,23.028,32.978,0,78.385,62.128,62.816,13.8,27.866,1810
35.325,63.145,34.348,39.038,46.809,0,0,19.017,26.968,37.239,34.665,43.135,0,0,1788
0,0,77.467,62.251,87.083,14.917,45.141,0,0,80.201,64.75,86.02,8.941,52.242,1810
37.047,36.824,77.98,65.944,63.537,9.407,18.313,35.663,0,78.933,64.544,63.055,5.847,25.797,1689
18.758,35.262,50.041,78.847,0,0,0,18.373,28.808,56.2,0,0,0,0,1788
0,0,78.703,63.026,69.34,9.792,35.825,0,0,80.393,61.518,70.335,8.73,43,1810
0,0,75.449,65.493,58.136,8.203,23.521,0,0,80.056,62.342,55.377,8.435,25.036,1689
23.46,17.249,40.937,34.553,45.771,0,0,34.729,42.891,40.095,30.696,45.003,0,0,1513
28.68,51.744,56.577,37.663,65.26,3.647,40.896,24.584,61.358,51.846,47.354,65.956,4.91,40.385,1513
23.697,32.33,31.942,38.545,44.714,3.979,23.07,20.185,34.085,31.294,41.103,42.363,4.331,24.38,1513
30.254,27.734,54.676,40.49,67.31,0,0,27.367,26.189,59.594,34.56,64.696,0,0,1566
0,0,82.038,66.576,57.571,10.155,25.523,0,0,84.198,66.879,60.438,9.623,28.607,1689
28.489,0,55.72,44.547,68.402,0,0,27.727,29.297,58.09,43.663,60.955,4.932,42.606,1178
27.07,0,53.309,44.119,67.18,0,0,26.865,29.409,54.289,39.56,63.953,0,0,1566
0,0,80.733,65.204,61.172,8.915,15.621,49.13,0,82.974,64.344,62.98,9.173,22.97,1689
51.819,0,77.986,65.927,58.587,9.628,15.3,48.165,0,80.539,65.23,61.146,10.118,20.515,1810
34.213,0,67.568,38.993,75.703,0,0,28.139,0,60.313,37.619,72.128,4.167,49.36,1178
26.196,34.736,68.376,48.217,73.489,0,0,26.034,34.903,69.407,47.762,69.452,0,0,1788
41.509,0,75.328,62.458,62.785,5.236,0,32.963,0,80.091,63.259,62.727,12.321,0,1810
30.627,49.097,67.888,0,0,0,0,0,0,62.27,0,0,0,0,1178
29.287,30.663,61.661,42.66,94.039,0,0,30.173,32.026,61.578,40.757,79.418,0,0,1788
0,0,75.763,64.413,0,0,0,0,0,75,65.819,0,0,0,1810
29.018,29.271,57.126,41.615,83.615,0,0,24.513,49.302,54.673,41.681,67.171,0,0,1788
0,0,72.951,66.554,64.355,9.508,0,0,0,77.672,65.83,69.052,6.737,0,1810
43.553,78.044,76.341,47.049,75.149,4.513,58.547,37.715,47.88,75.013,48.126,77.75,7.608,53.482,1788
35.253,66.441,74.692,50.044,61.972,5.375,57.788,44.526,45.01,70.976,51.375,68.884,7.559,51.132,1788
37.177,64.899,74.972,53.497,55.667,6.727,60.38,47.536,41.972,71.755,55.306,74.249,5.971,48.204,1788
43.329,79.351,82.081,57.095,71.781,6.013,61.355,47.886,45.817,79.027,57.365,85.761,7.174,50.356,1788
0,0,78.719,67.213,61.452,8.492,6.868,0,0,83.52,61.827,60.296,9.102,15.105,1810
0,0,78.179,65.16,60.725,7.122,12.69,0,0,79.779,63.377,58.633,11.506,17.881,1810
0,0,77.529,63.841,59.919,6.585,0,0,0,80.505,65.098,0,0,0,1689
0,0,78.018,67.136,62.372,6.84,16.756,0,0,79.962,61.691,66.18,0,0,1689
40.566,42.207,80.759,72.919,80.368,0,0,42.727,41.772,76.916,63.329,96.137,10.657,44.054,1788
55.22,96.65,103.555,68.658,102.83,8.571,72.067,57.429,60.508,90.023,78.616,96.356,10.735,75.486,1178
41.972,39.015,81.863,69.05,84.701,0,0,46.926,41.423,75.096,70.694,82.262,0,0,1788
61.508,108.476,122.533,72.081,108.724,10.431,72.912,60.617,65.332,105.069,85.814,92.05,9.38,84.759,1178
48.98,38.324,84.229,75.057,85.109,0,0,0,0,85.76,69.25,75.755,0,0,1788
68.138,126.944,133.745,90.663,140.471,11.973,73.71,66.291,68.452,112.19,90.91,89.817,7.455,95.68,1178
0,0,76.718,65.604,59.998,11.655,12.126,0,0,82.442,67.572,64.611,8.06,16.056,1689
51.114,36.16,90.684,70,96.861,0,0,0,0,86.107,67.598,80.013,0,0,1788
0,0,77.428,69.249,53.537,12.667,9.718,0,0,82.004,70.323,60.406,8.364,0,1689
55.515,48.882,125.011,85.031,175.439,0,0,0,0,98.836,73.507,148.047,0,0,1788
0,0,79.432,69.239,56.83,12.773,11.458,0,0,82.625,67.272,64.293,8.878,0,1689
62.715,50.5,132.473,88.576,176.149,0,0,0,0,108.249,77.755,112.601,12.919,51.141,1788
0,0,78.947,64.066,60.561,10.423,9.291,0,0,84.554,66.153,63.98,7.831,15.36,1689
0,0,80.655,0,0,0,0,0,0,89.764,0,0,0,0,1689
0,0,76.465,71.124,64.389,9.565,13.526,0,0,83.053,65.692,63.754,5.357,0,1810
0,0,77.182,65.907,58.807,7.475,0,31.096,0,83.435,64.301,58.497,8.11,14.011,1810
0,0,71.313,62.181,0,0,0,0,0,75.959,61.833,54.216,0,0,1810
0,0,76.603,0,0,0,0,0,0,78.906,0,0,0,0,1810
0,0,76.37,67.326,0,0,0,0,0,80.053,0,0,0,0,1810
0,0,73.96,60.986,61.075,8.059,11.514,0,0,78.788,0,0,0,0,1810
0,0,81.356,61.718,83.815,0,0,0,0,81.399,64.68,80.744,0,0,1810
0,0,83.326,73.466,62.543,13.863,13.825,0,0,86.211,71.474,70.213,6.426,0,1810
0,0,84.29,71.13,59.827,11.883,0,0,0,85.25,71.362,68.63,6.738,0,1810
0,0,87.379,70.41,60.664,15.435,0,0,0,86.847,70.406,66.365,9.325,0,1810
0,0,81.693,67.892,62.42,7.136,0,0,0,87.16,63.987,70.469,4.276,0,1810
0,0,83.674,74.199,60.056,8.84,7.028,0,0,89.203,67.244,62.006,9.903,12.179,1810
0,0,76.989,66.716,64.825,9.305,0,0,0,80.134,68.808,0,0,0,1689
49.826,0,92.417,69.933,71.641,11.547,12.727,0,0,85.774,69.458,68.97,11.13,0,1689
0,0,88.779,72.619,68.971,13.534,19.784,0,0,93.216,76.085,68.815,10.727,0,1689
0,0,90.056,73.604,72.27,6.963,8.092,0,0,94.247,76.952,69.129,4.838,0,1810
0,0,84.862,72.086,63.73,12.01,0,65.594,0,85.43,0,0,0,0,1810
0,0,82.31,65.919,71.66,0,0,0,0,84.161,0,0,0,0,1810
49.264,0,84.178,69.435,71.602,10.205,19.497,0,0,89.283,68.115,77.248,10.588,31.396,1810
0,0,89.406,0,0,0,0,0,0,86.527,0,0,0,0,1810
0,0,86.408,0,0,0,0,0,0,85.8,65.132,72.49,0,0,1810
11.486,16.894,35.918,23.308,38.415,0,0,15.252,0,32.876,20.774,34.322,0,0,1836
0,0,84.404,65.247,0,0,0,0,0,84.399,0,0,0,0,1689
16.432,16.572,29.866,22.337,33.538,0,0,14.117,29.369,30.942,20.918,32.474,3.056,24.393,1836
0,0,89.976,74.511,69.31,13.363,3.146,0,0,91.461,75.53,76.682,8.497,0,1689
0,0,91.759,77.878,74.555,12.343,0,63.904,0,91.073,76.137,77.655,13.28,0,1689
28.761,0,59.376,30.714,46.564,0,0,27.87,27.05,60.522,30.457,47.526,0,0,1850
0,0,88.204,0,0,0,0,0,0,88.179,0,0,0,0,1689
0,0,92.188,0,0,0,0,0,0,100.339,0,0,0,0,1689
26.961,36.529,64.719,32.484,64.932,5.323,35.977,27.549,29.276,63.174,33.415,66.404,5.478,39.196,1850
0,0,87.694,0,0,0,0,0,0,93.493,0,0,0,0,1689
17.363,46.158,48.516,28.71,64.773,4.679,35.816,21.764,42.1,51.014,29.907,57.264,4.394,37.597,1836
27.377,45.162,71.656,34.535,78.378,0,0,29.887,36.663,73.375,33.326,77.883,6.858,46.374,1834
30.198,41.12,77.787,39.107,82.904,6.231,34.014,32.858,31.982,70.495,40.273,75.226,6.086,38.096,1834
19.912,43.985,49.355,30.567,58.69,4.661,33.624,21.028,41.706,48.585,30.99,53.174,4.3,35.112,1836
33.494,32.227,75.868,43.921,72.528,5.854,37.634,29.642,36.043,81.672,43.418,74.484,6.609,38.66,1834
19.692,38.775,48.321,31.563,43.521,4.001,35.399,20.764,37.486,51.976,31.853,41.74,4.759,33.502,1836
37.011,30.193,75.366,45.662,84.703,0,0,32.1,36.864,77.293,44.527,80.495,8.132,38.405,1850
0,0,89.769,78.429,76.591,10.304,23.38,0,0,94.801,81.004,79.807,8.882,31.956,1689
20.967,43.437,51.701,34.411,49.116,5.259,33.242,22.37,36.067,53.225,32.747,46.471,4.464,33.145,1836
37.716,34.192,81.313,45.94,85.705,0,0,33.919,33.822,80.572,44.355,76.974,0,0,1850
48.708,0,88.164,83.082,75.066,13.258,16.342,56.868,0,96.225,77.654,76.156,9.511,27.714,1689
21.237,45.391,52.598,34.925,58.888,4.438,38.577,22.3,33.483,54.191,32.096,56.735,4.33,35.257,1836
44.394,35.504,82.791,75.551,77.484,10.175,19.214,40.523,0,87.397,76.159,77.836,10.954,30.507,1689
45.798,36.297,89.118,45.933,102.73,9.829,38.815,36.462,36.506,85.521,50.631,88.547,8.983,46.623,1850
55.837,0,81.086,81.12,65.251,9.931,14.606,55.64,0,90.081,75.82,67.035,4.012,0,1689
25.356,50.608,53.616,41.098,70.438,5.061,39.793,26.18,50.472,52.161,37.197,68.281,5.689,38.339,1836
46.203,46.981,100.419,52.262,84.046,7.598,42.449,39.975,40.561,94.927,50.896,69.293,0,0,1850
27.17,49.223,62.417,37.23,66.414,4.761,42.391,29.044,48.102,61.887,34.348,60.845,5.61,39.275,1836
49.757,47.173,111.625,60.202,104.455,9.572,0,41.027,45.344,107.887,55.767,93.258,0,0,1850
0,0,89.619,77.025,85.046,8.96,18.461,68.846,0,97.763,73.951,80.49,14.336,25.379,1810
28.698,51.885,59.909,36.724,74.638,4.995,38.49,30.299,48.242,54.08,39.5,55.376,0,0,1836
47.066,0,88.558,77.902,74.715,8.567,0,0,0,96.429,74.861,78.462,5.563,0,1689
49.325,0,91.703,78.518,77.799,7.744,13.241,47.612,0,99.269,72.878,76.342,9.858,25.267,1810
26.653,28.475,56.613,37.741,41.635,0,0,27.832,24.391,55.184,38.359,40.579,5.021,33.262,1836
58.975,44.354,118.004,63.044,95.027,7.805,49.956,54.085,45.157,115.208,61.254,77.845,7.677,63.439,1834
29.638,48.458,59.779,41.896,56.257,0,0,30.136,34,56.946,40.649,54.28,0,0,1836
59.568,64.499,128.885,67.169,101.954,13.193,67.275,55.539,57.724,117.206,76.988,88.017,0,0,1834
60.434,60.883,138.019,73.18,116.69,13.585,76.712,56.189,60.396,126.449,73.977,111.929,9.674,88.548,1834
